feature,importance
left_pair_7_19,0.0009227208128811963
left_pair_5_19,0.0009154475759308176
right_rel_y_9,0.0009092539436989103
left_pair_5_17,0.0009011975434157458
left_pair_6_13,0.0009005766001890454
right_pair_17_20,0.0009004193434402016
left_pair_1_18,0.0008981620294370739
left_rel_x_20,0.0008931303130731828
left_pair_2_5,0.0008836611191101297
left_pair_10_13,0.0008822486785345862
right_pair_3_16,0.000874827144229252
right_pair_3_14,0.0008700801710463804
left_pair_3_14,0.000867271230405433
right_pair_13_14,0.0008576058471547724
left_pair_7_13,0.0008555383938098752
left_pair_0_6,0.0008552298197086843
left_pair_9_17,0.0008496700209692115
right_pair_6_13,0.0008480610720390541
left_pair_9_18,0.0008470306592180113
right_pair_2_19,0.000842852463934175
right_orient_sin,0.0008382521775840913
right_pair_6_8,0.0008367045493086786
left_pair_2_9,0.0008307695841416091
left_pair_4_20,0.0008281743747346435
left_pair_1_10,0.0008244298157825089
left_pair_0_17,0.0008224584033183245
left_pair_13_17,0.0008210916456207969
left_pair_3_4,0.0008161677082114127
right_pair_4_19,0.0008159927735689415
left_pair_3_11,0.0008159864723831521
right_pair_8_19,0.0008145243406823554
left_pair_2_18,0.0008140990721327524
right_pair_14_15,0.0008130849973943825
right_pair_3_18,0.000808425629017307
left_pair_0_2,0.0008065013306791772
left_pair_3_13,0.0008052083299395571
left_pair_10_17,0.0007992562326259137
right_pair_0_17,0.0007964725811246093
left_rel_x_15,0.0007959860787881224
right_pair_2_3,0.0007945761758740582
right_pair_13_16,0.0007938760933596819
left_pair_10_12,0.0007935954989819172
right_pair_2_9,0.0007854000855683736
left_pair_14_17,0.0007785998719847592
left_pair_4_11,0.0007772137110359439
right_pair_13_19,0.0007554561887483187
right_pair_1_18,0.0007511283699911754
right_pair_2_20,0.0007469653512380313
left_pair_0_20,0.0007466305521488228
left_pair_1_15,0.0007410398672116785
right_pair_0_14,0.0007386453821124049
right_pair_3_19,0.0007385333054571596
right_pair_1_17,0.000734446985425672
right_pair_9_18,0.0007323891902701591
left_pair_5_18,0.0007255827057357973
left_pair_1_14,0.0007244196971983616
right_pair_2_7,0.0007214821811561237
right_pair_6_16,0.0007117205993357735
right_pair_2_4,0.0006906552089567363
right_pair_4_16,0.0006877529106958269
right_pair_14_17,0.0006810474653476238
left_pair_4_16,0.0006670876162728529
right_pair_10_14,0.0006634019247829166
left_pair_19_20,0.0006614382519226656
left_pair_5_10,0.0006608244651335655
right_pair_1_19,0.0006531194225114133
right_pair_5_6,0.0006490516384811427
right_pair_9_10,0.000642312679607297
left_pair_6_17,0.0006413993785636023
right_pair_13_15,0.0006384013540118795
right_pair_10_19,0.000635749616180608
left_pair_1_19,0.0006343207838921499
right_pair_1_2,0.0006320053424361768
left_pair_1_9,0.0006314647621224204
right_pair_10_18,0.0006313470786046783
left_pair_3_20,0.0006306111435676404
left_pair_11_12,0.0006293917421299819
right_pair_5_11,0.0006230830877144102
right_pair_2_13,0.0006222939214172579
right_pair_5_20,0.0006190532084626056
left_rel_x_18,0.0006181516236678315
left_pair_4_14,0.0006141857544594562
right_pair_2_5,0.0006028834179385524
left_pair_8_13,0.0006005678245749556
right_pair_0_9,0.0005957433180625413
left_pair_3_17,0.0005811025077041424
right_pair_7_14,0.0005748269658019958
left_pair_0_14,0.0005730461255548384
right_pair_6_18,0.0005644723275168098
left_pair_0_18,0.0005641198920696946
left_orient_cos,0.0005609496603520651
right_pair_2_18,0.0005571945744572626
right_pair_13_18,0.0005551161057725869
right_pair_4_20,0.0005550284010078504
right_pair_7_8,0.0005537090289707389
right_pair_10_12,0.0005508419726122484
right_pair_12_15,0.0005466373413518507
right_pair_2_15,0.0005465167560942743
right_pair_1_9,0.000546198932142011
left_pair_4_19,0.000545416409567779
left_pair_3_18,0.0005451830476080438
right_pair_5_14,0.0005446112721164103
right_pair_4_6,0.0005419342649744984
left_pair_3_16,0.000538594957767605
left_pair_14_20,0.0005383237108405176
right_pair_1_10,0.0005309645745932152
left_pair_3_15,0.000529382320946282
right_pair_2_6,0.0005290757969000135
right_pair_5_19,0.0005236414460329076
right_pair_5_10,0.0005168307256048262
right_pair_10_16,0.0005151788230275609
right_pair_3_5,0.0005036736348325338
left_pair_4_17,0.0005035594158286525
left_pair_4_18,0.0005021443460566976
right_pair_7_18,0.0004972377190330733
left_pair_0_19,0.0004908894554303434
left_pair_6_9,0.0004856689586508743
left_pair_1_20,0.00046603873724346566
left_pair_18_19,0.0004650407541724286
left_pair_7_8,0.0004628114674208074
left_pair_2_4,0.00045782043490251104
left_pair_2_20,0.00045720437366223945
left_rel_x_19,0.00044921674004480967
right_pair_17_19,0.00044801980093020234
left_pair_6_20,0.00044759199714566015
right_pair_13_17,0.00043684649926496787
right_pair_8_14,0.00043248594454014036
left_pair_5_7,0.00042341019528958267
right_pair_9_20,0.00041812256948862715
right_pair_13_20,0.00040880558033963614
left_pair_2_19,0.0004082323041848498
right_pair_1_14,0.00040225257661187454
right_pair_6_7,0.0004021818776866249
left_rel_x_14,0.00039813159971158673
right_pair_9_19,0.0003885592405192746
right_pair_1_13,0.0003883611944651078
right_pair_11_12,0.0003882762566713275
right_pair_3_15,0.0003876697776611872
right_pair_8_10,0.000385298288023985
left_pair_7_9,0.0003830883712439824
right_pair_14_16,0.00037863208645545424
right_pair_9_15,0.0003755443158911434
left_pair_2_11,0.00037321702310351353
left_pair_3_5,0.00037217682257042973
left_pair_4_15,0.0003676545123912614
right_pair_4_15,0.0003626375447016754
right_pair_0_13,0.00036198439772073426
left_pair_4_13,0.00035817000565699955
left_pair_3_19,0.00035217070608060827
right_pair_7_10,0.00035151339892517086
right_pair_4_18,0.00034505077980438064
right_pair_9_14,0.0003449890936419071
left_pair_6_8,0.00033225372764045545
right_pair_10_11,0.0003259149971053275
right_pair_1_5,0.00032046681143590023
right_pair_15_16,0.00031106435971899277
right_pair_3_4,0.00030640399910657223
right_pair_9_16,0.0003053886901654357
right_pair_0_10,0.0003033650571131195
left_pair_5_8,0.00030133913776254743
left_pair_5_6,0.0002803637909494033
left_pair_6_7,0.00027949336005516414
left_pair_8_9,0.00027168962859536427
right_pair_5_15,0.0002622428174429763
left_pair_0_9,0.0002419418586453152
left_pair_1_5,0.00021652836746028636
right_pair_18_19,0.00020837194754377505
right_pair_5_16,0.00019588708167995442
right_pair_1_6,0.0001680996588551011
left_pair_4_5,0.00015085630804325333
right_pair_18_20,0.00014445403359017442
right_pair_19_20,0.00014180746714960484
left_rel_x_0,0.0
right_rel_y_0,0.0
left_rel_y_0,0.0
right_rel_x_0,0.0
